Country Name,Country Code,2019 GDP (USD$),2019 Population,Life Expectancy at Birth
Latin America & Caribbean (excluding high income),LAC,5.1496E+12,613773119,75.24611405
Lao PDR,LAO,18173839147,7169455,67.61
Lebanon,LBN,51991634492,6855713,78.875
Liberia,LBR,3070518100,4937374,63.73
Libya,LBY,52091152228,6777452,72.724
St. Lucia,LCA,2122450630,182790,76.057
Latin America & Caribbean,LCN,5.73377E+12,646430843,75.44094775
Least developed countries: UN classification,LDC,1.11524E+12,1033388876,65.03962412
Low income,LIC,5.41512E+11,668454965,63.49633875
Liechtenstein,LIE,,38019,83.04146341
Sri Lanka,LKA,84008783756,21803000,76.812
Lower middle income,LMC,6.33493E+12,2913363391,68.42246909
Low & middle income,LMY,3.26435E+13,6437681136,70.99881948
Lesotho,LSO,2376328637,2125268,53.705
Late-demographic dividend,LTE,2.29204E+13,2298470832,76.22444368
Lithuania,LTU,54627411860,2786844,75.6804878
Luxembourg,LUX,71104919108,619896,82.29512195
Latvia,LVA,34102913582,1912789,74.78292683
"Macao SAR, China",MAC,53859116536,640445,84.118
St. Martin (French part),MAF,,38002,79.87073171
Morocco,MAR,1.197E+11,36471769,76.453
Monaco,MCO,,38964,
Moldova,MDA,11968713370,2657637,71.808
Madagascar,MDG,14114631281,26969307,66.681
Maldives,MDV,5642179170,530953,78.627
Middle East & North Africa,MEA,3.64961E+12,456707404,74.08890926
Mexico,MEX,1.26887E+12,127575529,74.992
Marshall Islands,MHL,,58791,
Middle income,MIC,3.20879E+13,5769226171,71.85462578
North Macedonia,MKD,12547040499,2083459,75.688
Mali,MLI,17279566719,19658031,58.893
Malta,MLT,14989415684,502653,82.44878049
Myanmar,MMR,76085852617,54045420,66.867
Middle East & North Africa (excluding high income),MNA,,389457086,73.58735821
Montenegro,MNE,5542577965,622137,76.77
Mongolia,MNG,13996719329,3225167,69.689
Northern Mariana Islands,MNP,,57216,
Mozambique,MOZ,15291448212,30366036,60.163
Mauritania,MRT,7600656944,4525696,64.704
Mauritius,MUS,14048430519,1265711,74.41634146
Malawi,MWI,7666704427,18628747,63.798
Malaysia,MYS,3.64681E+11,31949777,75.997
North America,NAC,2.31771E+13,365892703,78.88689055
Namibia,NAM,12366528259,2494530,63.373
New Caledonia,NCL,,287800,77.14878049
Niger,NER,12911689659,23310715,62.024
Nigeria,NGA,4.4812E+11,200963599,54.332
